cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t0_vs_t9,2,LOC,128,0.035465641605295695,0.035465641605295695,0.043358237285080065
libero_goal_t0_vs_t9,2,RAND,128,0.05670318370955753,0.09607331578391831,0.07885590549799881
libero_goal_t0_vs_t9,2,LOC,256,0.16697119376897096,0.14700371066439397,0.08185923987198931
libero_goal_t0_vs_t9,2,RAND,256,0.21070671056509857,0.18330234985466798,0.18020413913340322
libero_goal_t0_vs_t9,2,LOC,512,0.4081348686970202,0.5179505992126856,0.7732458939775065
libero_goal_t0_vs_t9,2,RAND,512,0.4081348686970202,0.5179505992126856,0.7732458939775065
libero_goal_t2_vs_t5,0,LOC,4,0.0051840172608118755,0.0029093470546783314,0.0016333555509041912
libero_goal_t2_vs_t5,0,RAND,4,0.20745608347058395,0.0004396192942726225,0.00011898447711440095
libero_goal_t2_vs_t5,0,LOC,8,0.021594929648103663,0.006693276746502298,0.004266180166097809
libero_goal_t2_vs_t5,0,RAND,8,0.0010177261943333188,0.0010177261943333188,0.0011299765445429199
libero_goal_t2_vs_t5,0,LOC,16,0.06204812267091461,0.01445744373028691,0.005613640435539619
libero_goal_t2_vs_t5,0,RAND,16,0.03761861915055349,0.00948478691185414,0.0007504291551753025
libero_goal_t2_vs_t5,0,LOC,32,0.06212947778660026,0.032327711957507554,0.010097458406011315
libero_goal_t2_vs_t5,0,RAND,32,0.5564701045386916,0.10334594072441439,0.008974087541989327
libero_goal_t2_vs_t5,0,LOC,64,0.20103558549466827,0.041669816123373164,0.018408005189508227
libero_goal_t2_vs_t5,0,RAND,64,0.45735978711074593,0.11568213683018255,0.011327657846378257
libero_goal_t2_vs_t5,0,LOC,128,0.20211695640311944,0.04339431208678358,0.043358237285080065
libero_goal_t2_vs_t5,0,RAND,128,0.39397798059195643,0.39397798059195643,0.07885590549799881
libero_goal_t2_vs_t5,0,LOC,256,0.21707257074496958,0.07190988465978648,0.08185923987198931
libero_goal_t2_vs_t5,0,RAND,256,0.805855603433291,0.805855603433291,0.18020413913340322
libero_goal_t2_vs_t5,0,LOC,512,1.0549515467307315,1.051945942180978,0.7732458939775065
libero_goal_t2_vs_t5,0,RAND,512,1.0549515467307315,1.051945942180978,0.7732458939775065
libero_goal_t2_vs_t5,1,LOC,4,0.0029093470546783314,0.0029093470546783314,0.0016333555509041912
libero_goal_t2_vs_t5,1,RAND,4,0.0003475855525808366,0.0004396192942726225,0.00011898447711440095
libero_goal_t2_vs_t5,1,LOC,8,0.006693276746502298,0.006693276746502298,0.004266180166097809
libero_goal_t2_vs_t5,1,RAND,8,-0.00038989528164209026,0.0010177261943333188,0.0011299765445429199
libero_goal_t2_vs_t5,1,LOC,16,0.01445744373028691,0.01445744373028691,0.005613640435539619
